Checkbox,Task ID,Summary,Original Summary,Epic,Epic Name,Owner,Issue Type,Priority,Labels,Sprint,Sprint Date,Deadline,Time Estimate (days),Description
FALSE,AIO-S5-002,Unit test chunker,Viết test cho chunk_text/page-aware chunking.,EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Test,P0,"unit-test,chunking,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.25,"Acceptance: test chunk rỗng, overlap, metadata không mất."
FALSE,AIO-S5-003,Unit test pdf_loader,Test PDF loader với file sample hoặc mock page text.,EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Test,P1,"unit-test,pdf,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.25,Acceptance: extract text không crash khi page None; metadata đúng.
FALSE,AIO-S5-004,Unit test vector_store,Test add/get/delete chunks và persistent client cơ bản.,EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Test,P1,"unit-test,chromadb,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.3,Acceptance: add chunks có metadata; delete by document_id hoạt động.
FALSE,AIO-S5-005,Integration smoke test end-to-end,Test upload/index/query một tài liệu sample từ đầu đến cuối.,EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Test,P0,"integration-test,rag,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.35,Include both baseline and upgrade where relevant. Acceptance: câu hỏi trong tài liệu trả lời có source; câu ngoài tài liệu không bịa.
FALSE,AIO-S5-006,Test lỗi phổ biến trước demo,"Kiểm thử Ollama down, missing model, PDF rỗng, Notion env thiếu.",EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Test,P0,"error-handling,qa,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.3,Include both baseline and upgrade where relevant. Acceptance: app báo lỗi thân thiện và không crash.
FALSE,AIO-S5-007,Viết README hướng dẫn chạy,"README gồm cài Ollama, pull model, pip install, streamlit run, Notion setup.",EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Docs,P0,"documentation,readme,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.35,Acceptance: người khác có thể chạy local theo README.
FALSE,AIO-S5-008,Viết architecture diagram trong docs,Thêm sơ đồ pipeline PDF + Notion -> chunk -> embedding -> Chroma -> RAG -> UI.,EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Docs,P1,"documentation,architecture,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.25,Viết architecture diagram trong docs cho cả 2 bản: baseline pipeline và upgrade pipeline. Include folder structure baseline/ vs upgrade/. Acceptance: diagram dễ đưa vào report/demo.
FALSE,AIO-S5-009,Viết weakness & improvement summary,Đưa phần technical improvement vào docs để giải thích chiều sâu dự án.,EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Docs,P1,"documentation,technical-analysis,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.3,"Viết summary điểm yếu và cải tiến, nhấn mạnh upgrade được build từ baseline: persistent DB, metadata, citation, memory, Notion sync, evaluation. Acceptance: có bảng mapping baseline limitation -> upgrade improvement."
FALSE,AIO-S5-010,Chuẩn bị demo script 5 phút,"Kịch bản demo: upload PDF, hỏi nguồn, sync Notion, hỏi tuần/module, follow-up.",EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Docs,P0,"demo,presentation,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.25,"Include both baseline and upgrade where relevant. Chuẩn bị demo script 5 phút: 1 phút baseline, 3 phút upgrade, 1 phút weakness/improvement và next steps. Acceptance: có kịch bản thao tác rõ ràng, câu hỏi mẫu, expected answer, fallback nếu Ollama lỗi."
FALSE,AIO-S5-011,Freeze scope và khóa version nộp,Không thêm feature mới sau khi pass core test; chỉ fix bug.,EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Task,P0,"release,scope-control",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.15,Acceptance: danh sách known limitations rõ ràng; branch/tag release được tạo.
FALSE,AIO-S5-012,Final bugfix pass,Sửa lỗi phát sinh từ evaluation và demo rehearsal.,EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Bug,P0,"bugfix,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.5,Acceptance: các lỗi blocking demo được fix hoặc ghi workaround.
FALSE,AIO-S5-013,Đóng gói project nộp bài,"Chuẩn bị zip/repo, README, sample data, .env.example, screenshots.",EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Task,P0,"submission,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.35,Include both baseline and upgrade where relevant. Acceptance: package nộp không chứa .env/token/chroma_db quá lớn; chạy lại được.
FALSE,AIO-S5-014,Retrospective ngắn,"Ghi lại điều đã làm, chưa làm, hướng mở rộng sau deadline.",EPIC-05,"Evaluation, Testing, Documentation & Demo",Thành / Codex,Docs,P2,"retrospective,agile,release",Sprint 5 - Evaluation & Release,2026-06-28,2026-06-30,0.15,Acceptance: có notes ngắn cho báo cáo hoặc Notion.
